product_desc,price,image,link
Gold Multishape Hoop Earrings Set of 3,650.00,https://img.faballey.com/Images/Product/ZEA00338/1.jpg,https://www.houseofindya.com/3-golden-hoops-in-combo-22/iprdt
Gold Kundan Red Beads Chandbali Earrings,725.00,https://img.faballey.com/Images/Product/ZEA00470/1.jpg,https://www.houseofindya.com/kundan-mini-chaandbali-with-maroon-beads-22/iprdt
Gold Kundan Crescent Jhumki Earrings,1000.00,https://img.faballey.com/Images/Product/ZEA00305/1.jpg,https://www.houseofindya.com/gold-kundan-crescent-jhumki-earrings-22/iprdt
Gold Kundan Crystal Jhumki Earrings,700.00,https://img.faballey.com/Images/Product/ZEA00349/1.jpg,https://www.houseofindya.com/gold-kundan-crystal-jhumki-earrings-22/iprdt
Gold Textured Tie Wire Hoop Earrings,400.00,https://img.faballey.com/Images/Product/ZEA00375/1.jpg,https://www.houseofindya.com/textured-and-tiedwire-golden-hoop-22/iprdt
Gold D-Shaped Pearl Closure Hoop Earrings,550.00,https://img.faballey.com/Images/Product/ZEA00400/1.jpg,https://www.houseofindya.com/gold-d-shaped-pearl-closure-hoop-earrings-22/iprdt
Gold Red Triangular Tasselled Dangler Earrings,450.00,https://img.faballey.com/Images/Product/ZEA00435/1.jpg,https://www.houseofindya.com/gold-red-triangular-tasselled-dangler-earrings-22/iprdt
Gold Kundan Green Drop Jhumka Earrings,925.00,https://img.faballey.com/Images/Product/ZEA00300/1.jpg,https://www.houseofindya.com/gold-kundan-green-drop-jhumka-earrings-22/iprdt
Silver Gold Sleek Hoop Earrings Set of 3,700.00,https://img.faballey.com/Images/Product/ZEA00339/1.jpg,https://www.houseofindya.com/1-golden-and-2-silver-hoops-in-combo-22/iprdt
Gold Dark Blue Kundan Meena Dangler Earrings,925.00,https://img.faballey.com/Images/Product/ZEA00350/1.jpg,https://www.houseofindya.com/dark-blue-enamel-kundan-dangler-22/iprdt
Gold Kundan Green Beads Chandbali Earrings,725.00,https://img.faballey.com/Images/Product/ZEA00469/1.jpg,https://www.houseofindya.com/mini-chaandbali-with-pastel-green-beads-22/iprdt
Gold Pearl Cluster Drop Dangler Earrings,250.00,https://img.faballey.com/Images/Product/ZEA00437/1.jpg,https://www.houseofindya.com/gold-pearl-cluster-drop-dangler-earrings-22/iprdt
Gold Pink Kundan Meena Dangler Earrings,925.00,https://img.faballey.com/Images/Product/ZEA00351/1.jpg,https://www.houseofindya.com/darkpink--enamel-kundan-dangler-22/iprdt
Gold Green Kundan Meena Dangler Earrings,925.00,https://img.faballey.com/Images/Product/ZEA00352/1.jpg,https://www.houseofindya.com/green-enamel-kundan-dangler-22/iprdt
Gold Horseshoe Pearl Stud Earrings,350.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-horseshoe-pearl-stud-earrings-22/iprdt
Gold Kundan Necklace With Green Beads,700.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-kundan-necklace-with-green-beads-23/iprdt
Gold Kundan Dual Flower Dangler Earrings,425.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-kundan-dual-flower-dangler-earrings-22/iprdt
Gold Kundan Delicate Drop Matha Patti,700.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-kundan-delicate-drop-matha-patti-32/iprdt
Gold Black Boomerang Stud Earrings,450.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-black-boomerang-stud-earrings-22/iprdt
Silver Drop Circle Stud Earrings,650.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/silver-drop-circle-stud-earrings-22/iprdt
Green Bead Kundan Earring Necklace Set,1750.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/green-bead-kundan-earring-necklace-set-290/iprdt
Multi Gold Kundan Red Meena Beaded Earring Necklace Set,1750.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/multi-gold-kundan-red-meena-beaded-earring-necklace-set-290/iprdt
Gold Bead Cluster Earring Neckace Set,1800.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-bead-cluster-earring-neckace-set-290/iprdt
Gold White Pearl Hoop Earrings,425.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-white-druzy-stone-hoop-earrings-22/iprdt
Gold Rose Quartz Bracelet,700.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-rose-quartz-druzy-bracelet-27/iprdt
Gold Satin Finish Horseshoe Dangler Earrings,650.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-satin-finish-horseshoe-dangler-earrings-22/iprdt
Gold Green Stone Dangler Earrings,675.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-green-stone-dangler-earrings-22/iprdt
Gold Honey Comb Hoop Earrings,575.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-honey-comb-hoop-earrings-22/iprdt
Silver Flora Embossed Dangler Earrings,650.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/silver-flora-embossed-dangler-earrings-22/iprdt
Rose Gold White Diamond Bracelet,975.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/rose-gold-white-diamond-bracelet-27/iprdt
Silver Vine Jaal Dangler Earrings,275.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/silver-vine-jaal-dangler-earrings-22/iprdt
Gold Red Kundan Meena Chandbali Earrings,425.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/gold-red-kundan-meena-chandbali-earrings-22/iprdt
Silver Botanical Oxidised Hoop Earrings,350.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/silver-botanical-oxidised-hoop-earrings-22/iprdt
Silver Daana Tribal Disc Oxidised Earrings,450.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/silver-daana-tribal-disc-oxidised-earrings-22/iprdt
White Pearl Drop Diamond Danger Earrings,1200.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/white-pearl-drop-diamond-danger-earrings-22/iprdt
White Silver Diamond Dangler Earrings,1200.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/white-silver-diamond-dangler-earrings-22/iprdt
Black Druzy Pearl Stud Earrings,800.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/black-druzy-pearl-stud-earrings-22/iprdt
Silver Abstract Oxidised Dangler Earrings,300.00,https://img.faballey.com/Images/Product//1.jpg,https://www.houseofindya.com/silver-abstract-oxidised-dangler-earrings-22/iprdt
